id_producto,producto,categoria
95,Producto_95,Ropa
96,Producto_96,Hogar
97,Producto_97,Ropa
98,Producto_98,Alimentos
99,Producto_99,Hogar
100,Producto_100,Hogar
101,Producto_101,Electrónica
102,Producto_102,Ropa
103,Producto_103,Alimentos
104,Producto_104,Ropa
105,Producto_105,Alimentos
106,Producto_106,Deportes
107,Producto_107,Electrónica
108,Producto_108,Hogar
109,Producto_109,Electrónica
110,Producto_110,Deportes
111,Producto_111,Electrónica
112,Producto_112,Electrónica
113,Producto_113,Deportes
114,Producto_114,Electrónica
115,Producto_115,Electrónica
116,Producto_116,Deportes
117,Producto_117,Deportes
118,Producto_118,Hogar
119,Producto_119,Alimentos
120,Producto_120,Alimentos
121,Producto_121,Deportes
122,Producto_122,Alimentos
123,Producto_123,Ropa
124,Producto_124,Ropa
125,Producto_125,Ropa
126,Producto_126,Hogar
127,Producto_127,Alimentos
128,Producto_128,Electrónica
129,Producto_129,Deportes
130,Producto_130,Alimentos
131,Producto_131,Hogar
132,Producto_132,Electrónica
133,Producto_133,Deportes
134,Producto_134,Electrónica
135,Producto_135,Deportes
136,Producto_136,Ropa
137,Producto_137,Deportes
138,Producto_138,Deportes
139,Producto_139,Hogar
140,Producto_140,Hogar
141,Producto_141,Hogar
142,Producto_142,Alimentos
143,Producto_143,Ropa
144,Producto_144,Ropa
145,Producto_145,Deportes
146,Producto_146,Hogar
147,Producto_147,Ropa
148,Producto_148,Ropa
149,Producto_149,Deportes
150,Producto_150,Deportes
151,Producto_151,Electrónica
152,Producto_152,Electrónica
153,Producto_153,Deportes
154,Producto_154,Electrónica
155,Producto_155,Ropa
156,Producto_156,Deportes
157,Producto_157,Deportes
158,Producto_158,Hogar
159,Producto_159,Ropa
160,Producto_160,Ropa
161,Producto_161,Alimentos
162,Producto_162,Alimentos
163,Producto_163,Hogar
164,Producto_164,Alimentos
165,Producto_165,Electrónica
166,Producto_166,Deportes
167,Producto_167,Electrónica
168,Producto_168,Ropa
169,Producto_169,Alimentos
170,Producto_170,Electrónica
171,Producto_171,Ropa
172,Producto_172,Alimentos
173,Producto_173,Deportes
174,Producto_174,Deportes
175,Producto_175,Alimentos
176,Producto_176,Deportes
177,Producto_177,Hogar
178,Producto_178,Alimentos
179,Producto_179,Hogar
180,Producto_180,Alimentos
181,Producto_181,Hogar
182,Producto_182,Deportes
183,Producto_183,Deportes
184,Producto_184,Electrónica
185,Producto_185,Ropa
186,Producto_186,Hogar
187,Producto_187,Alimentos
188,Producto_188,Deportes
189,Producto_189,Deportes
190,Producto_190,Alimentos
191,Producto_191,Ropa
192,Producto_192,Alimentos
193,Producto_193,Hogar
194,Producto_194,Hogar
195,Producto_195,Electrónica
196,Producto_196,Alimentos
197,Producto_197,Deportes
198,Producto_198,Electrónica
199,Producto_199,Alimentos
200,Producto_200,Alimentos
201,Producto_201,Deportes
202,Producto_202,Ropa
203,Producto_203,Alimentos
204,Producto_204,Electrónica
205,Producto_205,Deportes
206,Producto_206,Hogar
207,Producto_207,Ropa
208,Producto_208,Deportes
209,Producto_209,Electrónica
210,Producto_210,Alimentos
211,Producto_211,Electrónica
212,Producto_212,Alimentos
213,Producto_213,Deportes
214,Producto_214,Ropa
215,Producto_215,Deportes
216,Producto_216,Electrónica
217,Producto_217,Electrónica
218,Producto_218,Hogar
219,Producto_219,Hogar
220,Producto_220,Alimentos
221,Producto_221,Electrónica
222,Producto_222,Hogar
223,Producto_223,Hogar
224,Producto_224,Deportes
225,Producto_225,Alimentos
226,Producto_226,Ropa
227,Producto_227,Deportes
228,Producto_228,Alimentos
229,Producto_229,Alimentos
230,Producto_230,Deportes
231,Producto_231,Hogar
232,Producto_232,Hogar
233,Producto_233,Ropa
234,Producto_234,Ropa
235,Producto_235,Alimentos
236,Producto_236,Ropa
237,Producto_237,Deportes
238,Producto_238,Ropa
239,Producto_239,Electrónica
240,Producto_240,Alimentos
241,Producto_241,Electrónica
242,Producto_242,Alimentos
243,Producto_243,Alimentos
244,Producto_244,Deportes
245,Producto_245,Hogar
246,Producto_246,Ropa
247,Producto_247,Electrónica
248,Producto_248,Ropa
249,Producto_249,Alimentos
250,Producto_250,Electrónica
251,Producto_251,Electrónica
252,Producto_252,Alimentos
253,Producto_253,Ropa
254,Producto_254,Electrónica
255,Producto_255,Ropa
256,Producto_256,Electrónica
257,Producto_257,Hogar
258,Producto_258,Deportes
259,Producto_259,Alimentos
260,Producto_260,Deportes
261,Producto_261,Ropa
262,Producto_262,Deportes
263,Producto_263,Deportes
264,Producto_264,Deportes
265,Producto_265,Deportes
266,Producto_266,Alimentos
267,Producto_267,Hogar
268,Producto_268,Hogar
269,Producto_269,Deportes
270,Producto_270,Hogar
271,Producto_271,Hogar
272,Producto_272,Alimentos
273,Producto_273,Deportes
274,Producto_274,Ropa
275,Producto_275,Deportes
276,Producto_276,Hogar
277,Producto_277,Ropa
278,Producto_278,Hogar
279,Producto_279,Hogar
280,Producto_280,Electrónica
281,Producto_281,Electrónica
282,Producto_282,Electrónica
283,Producto_283,Hogar
284,Producto_284,Deportes
285,Producto_285,Deportes
286,Producto_286,Hogar
287,Producto_287,Electrónica
288,Producto_288,Hogar
289,Producto_289,Deportes
290,Producto_290,Deportes
291,Producto_291,Alimentos
292,Producto_292,Deportes
293,Producto_293,Alimentos
294,Producto_294,Hogar
295,Producto_295,Deportes
296,Producto_296,Alimentos
297,Producto_297,Deportes
298,Producto_298,Alimentos
299,Producto_299,Deportes
300,Producto_300,Deportes
301,Producto_301,Ropa
302,Producto_302,Hogar
303,Producto_303,Hogar
304,Producto_304,Deportes
305,Producto_305,Alimentos
306,Producto_306,Electrónica
307,Producto_307,Alimentos
308,Producto_308,Deportes
309,Producto_309,Hogar
310,Producto_310,Alimentos
311,Producto_311,Ropa
312,Producto_312,Deportes
313,Producto_313,Alimentos
314,Producto_314,Alimentos
315,Producto_315,Ropa
316,Producto_316,Electrónica
317,Producto_317,Electrónica
318,Producto_318,Alimentos
319,Producto_319,Deportes
320,Producto_320,Ropa
321,Producto_321,Electrónica
322,Producto_322,Alimentos
323,Producto_323,Deportes
324,Producto_324,Electrónica
325,Producto_325,Hogar
326,Producto_326,Alimentos
327,Producto_327,Ropa
328,Producto_328,Deportes
329,Producto_329,Alimentos
330,Producto_330,Electrónica
331,Producto_331,Alimentos
332,Producto_332,Alimentos
333,Producto_333,Electrónica
334,Producto_334,Hogar
335,Producto_335,Deportes
336,Producto_336,Electrónica
337,Producto_337,Alimentos
338,Producto_338,Alimentos
339,Producto_339,Ropa
340,Producto_340,Alimentos
341,Producto_341,Electrónica
342,Producto_342,Ropa
343,Producto_343,Alimentos
344,Producto_344,Electrónica
345,Producto_345,Deportes
346,Producto_346,Deportes
347,Producto_347,Alimentos
348,Producto_348,Deportes
349,Producto_349,Alimentos
350,Producto_350,Ropa
351,Producto_351,Deportes
352,Producto_352,Ropa
353,Producto_353,Ropa
354,Producto_354,Ropa
355,Producto_355,Hogar
356,Producto_356,Electrónica
357,Producto_357,Alimentos
358,Producto_358,Ropa
359,Producto_359,Alimentos
360,Producto_360,Ropa
361,Producto_361,Electrónica
362,Producto_362,Deportes
363,Producto_363,Alimentos
364,Producto_364,Hogar
365,Producto_365,Alimentos
366,Producto_366,Electrónica
367,Producto_367,Ropa
368,Producto_368,Alimentos
369,Producto_369,Electrónica
370,Producto_370,Ropa
371,Producto_371,Deportes
372,Producto_372,Electrónica
373,Producto_373,Hogar
374,Producto_374,Alimentos
375,Producto_375,Electrónica
376,Producto_376,Ropa
377,Producto_377,Ropa
378,Producto_378,Hogar
379,Producto_379,Alimentos
380,Producto_380,Ropa
381,Producto_381,Ropa
382,Producto_382,Ropa
383,Producto_383,Electrónica
384,Producto_384,Electrónica
385,Producto_385,Alimentos
386,Producto_386,Hogar
387,Producto_387,Alimentos
388,Producto_388,Hogar
389,Producto_389,Deportes
390,Producto_390,Ropa
391,Producto_391,Hogar
392,Producto_392,Ropa
393,Producto_393,Hogar
394,Producto_394,Deportes
395,Producto_395,Hogar
396,Producto_396,Alimentos
397,Producto_397,Electrónica
398,Producto_398,Ropa
399,Producto_399,Electrónica
400,Producto_400,Hogar
401,Producto_401,Alimentos
402,Producto_402,Hogar
403,Producto_403,Deportes
404,Producto_404,Deportes
405,Producto_405,Deportes
406,Producto_406,Hogar
407,Producto_407,Deportes
408,Producto_408,Hogar
409,Producto_409,Hogar
410,Producto_410,Alimentos
411,Producto_411,Ropa
412,Producto_412,Electrónica
413,Producto_413,Ropa
414,Producto_414,Electrónica
415,Producto_415,Electrónica
416,Producto_416,Hogar
417,Producto_417,Deportes
418,Producto_418,Deportes
419,Producto_419,Deportes
420,Producto_420,Ropa
421,Producto_421,Deportes
422,Producto_422,Alimentos
423,Producto_423,Hogar
424,Producto_424,Deportes
425,Producto_425,Deportes
426,Producto_426,Deportes
427,Producto_427,Ropa
428,Producto_428,Hogar
429,Producto_429,Alimentos
430,Producto_430,Deportes
431,Producto_431,Electrónica
432,Producto_432,Ropa
433,Producto_433,Deportes
434,Producto_434,Deportes
435,Producto_435,Ropa
436,Producto_436,Alimentos
437,Producto_437,Electrónica
438,Producto_438,Electrónica
439,Producto_439,Alimentos
440,Producto_440,Ropa
441,Producto_441,Deportes
442,Producto_442,Alimentos
443,Producto_443,Ropa
444,Producto_444,Ropa
445,Producto_445,Ropa
446,Producto_446,Ropa
447,Producto_447,Electrónica
448,Producto_448,Ropa
449,Producto_449,Alimentos
450,Producto_450,Deportes
451,Producto_451,Deportes
452,Producto_452,Hogar
453,Producto_453,Alimentos
454,Producto_454,Hogar
455,Producto_455,Alimentos
456,Producto_456,Ropa
457,Producto_457,Hogar
458,Producto_458,Ropa
459,Producto_459,Alimentos
460,Producto_460,Electrónica
461,Producto_461,Electrónica
462,Producto_462,Electrónica
463,Producto_463,Electrónica
464,Producto_464,Deportes
465,Producto_465,Electrónica
466,Producto_466,Alimentos
467,Producto_467,Electrónica
468,Producto_468,Deportes
469,Producto_469,Ropa
470,Producto_470,Hogar
471,Producto_471,Ropa
472,Producto_472,Ropa
473,Producto_473,Hogar
474,Producto_474,Electrónica
475,Producto_475,Electrónica
476,Producto_476,Alimentos
477,Producto_477,Electrónica
478,Producto_478,Electrónica
479,Producto_479,Alimentos
480,Producto_480,Hogar
481,Producto_481,Alimentos
482,Producto_482,Electrónica
483,Producto_483,Electrónica
484,Producto_484,Electrónica
485,Producto_485,Alimentos
486,Producto_486,Hogar
487,Producto_487,Deportes
488,Producto_488,Alimentos
489,Producto_489,Hogar
490,Producto_490,Electrónica
491,Producto_491,Hogar
492,Producto_492,Ropa
493,Producto_493,Ropa
494,Producto_494,Deportes
495,Producto_495,Electrónica
496,Producto_496,Deportes
497,Producto_497,Ropa
498,Producto_498,Deportes
499,Producto_499,Ropa
500,Producto_500,Ropa
